"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"VSTR_TOOLTIP_TITLE_DEL_PRESET_TP","Delete Preset?","Delete Preset?","Delete Preset?","Delete Preset?","Удалить набор?","Delete Preset?","Delete Preset?","Delete Preset?","Delete Preset?","Supprimer le préréglage ?","Delete Preset?","Delete Preset?","Delete Preset?","删除预设？"
"VSTR_TOOLTIP_DEL_PRESET_TP","Are you sure you want to remove selected saved teleport position(s)?","Are you sure you want to remove selected saved teleport position(s)?","Are you sure you want to remove selected saved teleport position(s)?","Are you sure you want to remove selected saved teleport position(s)?","Вы уверены, что хотите удалить выбранные позиции телепорта?","Are you sure you want to remove selected saved teleport position(s)?","Are you sure you want to remove selected saved teleport position(s)?","Are you sure you want to remove selected saved teleport position(s)?","Are you sure you want to remove selected saved teleport position(s)?","Êtes-vous sûr de vouloir supprimer les positions de téléportation enregistrées sélectionnées ?","Are you sure you want to remove selected saved teleport position(s)?","Are you sure you want to remove selected saved teleport position(s)?","Are you sure you want to remove selected saved teleport position(s)?","您确定要删除选定的已保存传送位置吗？"
"VSTR_NOTIFY_ERR_TP_PLAYER","Error Teleporting...No Players selected!","Error Teleporting...No Players selected!","Error Teleporting...No Players selected!","Error Teleporting...No Players selected!","Ошибка телепорта... Игроки не выбраны!","Error Teleporting...No Players selected!","Error Teleporting...No Players selected!","Error Teleporting...No Players selected!","Error Teleporting...No Players selected!","Erreur de téléportation... Aucun joueur sélectionné !","Error Teleporting...No Players selected!","Error Teleporting...No Players selected!","Error Teleporting...No Players selected!","传送时出错...未选择玩家！"
"VSTR_NOTIFY_ERR_TP_PLAYERS_NOTSELECT","Error Teleporting...No Players selected","Error Teleporting...No Players selected","Error Teleporting...No Players selected","Error Teleporting...No Players selected","Ошибка телепорта... Игроки не выбраны, используйте менеджер игроков!","Error Teleporting...No Players selected","Error Teleporting...No Players selected","Error Teleporting...No Players selected","Error Teleporting...No Players selected","Erreur de téléportation... Aucun joueur sélectionné, utilisez le menu Gestion des joueurs !","Error Teleporting...No Players selected","Error Teleporting...No Players selected","Error Teleporting...No Players selected","传送时出错...未选择玩家，请使用玩家管理器菜单！"
"VSTR_NOTIFY_ERR_INVALIDPOS","Invalid Position property!","Invalid Position property!","Invalid Position property!","Invalid Position property!","Недопустимые координаты!","Invalid Position property!","Invalid Position property!","Invalid Position property!","Invalid Position property!","Propriété de position invalide !","Invalid Position property!","Invalid Position property!","Invalid Position property!","无效的坐标！"
"VSTR_NOTIFY_ERR_TP_NAME_UNIQUE","You must give the position a unique name!","You must give the position a unique name!","You must give the position a unique name!","You must give the position a unique name!","Введите уникальное имя позиции!","You must give the position a unique name!","You must give the position a unique name!","You must give the position a unique name!","You must give the position a unique name!","Vous devez donner un nom unique à la position !","You must give the position a unique name!","You must give the position a unique name!","You must give the position a unique name!","您必须为该职位指定一个唯一的名称！"
"VSTR_TOOLTIP_WEATHER_MNU","This feature allows you to save presets of current world time OR the time data that you have typed in the 'World Time' section of the menu.\nTick the box `Use Current Time` to save time directly from the world (current time","This feature allows you to save presets of current world time OR the time data that you have typed in the 'World Time' section of the menu.\nTick the box `Use Current Time` to save time directly from the world (current time","This feature allows you to save presets of current world time OR the time data that you have typed in the 'World Time' section of the menu.\nTick the box `Use Current Time` to save time directly from the world (current time","This feature allows you to save presets of current world time OR the time data that you have typed in the 'World Time' section of the menu.\nTick the box `Use Current Time` to save time directly from the world (current time","Эта функция позволяет сохранять настройки текущего мирового времени или данные о времени, которые вы ввели в разделе меню «Мировое время».Отметьте поле «Использовать текущее время», чтобы сохранять время непосредственно из мира (текущее время, как показано в разделе меню «Информация».)","This feature allows you to save presets of current world time OR the time data that you have typed in the 'World Time' section of the menu.\nTick the box `Use Current Time` to save time directly from the world (current time","This feature allows you to save presets of current world time OR the time data that you have typed in the 'World Time' section of the menu.\nTick the box `Use Current Time` to save time directly from the world (current time","This feature allows you to save presets of current world time OR the time data that you have typed in the 'World Time' section of the menu.\nTick the box `Use Current Time` to save time directly from the world (current time","This feature allows you to save presets of current world time OR the time data that you have typed in the 'World Time' section of the menu.\nTick the box `Use Current Time` to save time directly from the world (current time","Cette fonctionnalité vous permet de sauvegarder des préréglages de l'heure actuelle du monde OU les données temporelles que vous avez saisies dans la section 'Heure du Monde' du menu.\nCochez la case `Utiliser l'heure actuelle` pour sauvegarder l'heure directement depuis le monde (heure actuelle, comme indiqué dans la section `Information` du menu.)","This feature allows you to save presets of current world time OR the time data that you have typed in the 'World Time' section of the menu.\nTick the box `Use Current Time` to save time directly from the world (current time","This feature allows you to save presets of current world time OR the time data that you have typed in the 'World Time' section of the menu.\nTick the box `Use Current Time` to save time directly from the world (current time","This feature allows you to save presets of current world time OR the time data that you have typed in the 'World Time' section of the menu.\nTick the box `Use Current Time` to save time directly from the world (current time","此功能允许您保存当前世界时间的预设或您在菜单的“世界时间”部分中键入的时间数据。勾选“使用当前时间”框可直接保存来自世界的时间（当前时间、 如菜单的“信息”部分所示。）"
"VSTR_TOOLTIP_WEATHER_PRST","This feature allows you to save weather presets that you can apply when you wish to. Duplicate names are not allowed!\nOpening and closing this menu will refresh the presets list if other admins made any new presets while you had it open.","This feature allows you to save weather presets that you can apply when you wish to. Duplicate names are not allowed!\nOpening and closing this menu will refresh the presets list if other admins made any new presets while you had it open.","This feature allows you to save weather presets that you can apply when you wish to. Duplicate names are not allowed!\nOpening and closing this menu will refresh the presets list if other admins made any new presets while you had it open.","This feature allows you to save weather presets that you can apply when you wish to. Duplicate names are not allowed!\nOpening and closing this menu will refresh the presets list if other admins made any new presets while you had it open.","Эта функция позволяет вам сохранять предустановки погоды, которые вы можете применить, когда захотите. Одинаковые имена запрещены! Открытие и закрытие этого окна обновит список пресетов, если другие администраторы создали какие-либо новые пресеты, пока оно было открыто.","This feature allows you to save weather presets that you can apply when you wish to. Duplicate names are not allowed!\nOpening and closing this menu will refresh the presets list if other admins made any new presets while you had it open.","This feature allows you to save weather presets that you can apply when you wish to. Duplicate names are not allowed!\nOpening and closing this menu will refresh the presets list if other admins made any new presets while you had it open.","This feature allows you to save weather presets that you can apply when you wish to. Duplicate names are not allowed!\nOpening and closing this menu will refresh the presets list if other admins made any new presets while you had it open.","This feature allows you to save weather presets that you can apply when you wish to. Duplicate names are not allowed!\nOpening and closing this menu will refresh the presets list if other admins made any new presets while you had it open.","Cette fonctionnalité vous permet de sauvegarder des préréglages météorologiques que vous pouvez appliquer quand vous le souhaitez. Les noms en double ne sont pas autorisés !\nOuvrir et fermer ce menu rafraîchira la liste des préréglages si d'autres administrateurs ont créé de nouveaux préréglages pendant que vous aviez ce menu ouvert.","This feature allows you to save weather presets that you can apply when you wish to. Duplicate names are not allowed!\nOpening and closing this menu will refresh the presets list if other admins made any new presets while you had it open.","This feature allows you to save weather presets that you can apply when you wish to. Duplicate names are not allowed!\nOpening and closing this menu will refresh the presets list if other admins made any new presets while you had it open.","This feature allows you to save weather presets that you can apply when you wish to. Duplicate names are not allowed!\nOpening and closing this menu will refresh the presets list if other admins made any new presets while you had it open.","此功能允许您保存天气预设，以便您可以在需要时应用。 不允许重复名称！如果其他管理员在您打开此菜单时创建了任何新预设，则打开和关闭此菜单将刷新预设列表。"
"VSTR_TOOLTIP_SELECT_PRST_WEATHER","Please select a weather preset to delete.","Please select a weather preset to delete.","Please select a weather preset to delete.","Please select a weather preset to delete.","Выберите предустановку погоды для удаления.","Please select a weather preset to delete.","Please select a weather preset to delete.","Please select a weather preset to delete.","Please select a weather preset to delete.","Veuillez sélectionner un préréglage météorologique à supprimer.","Please select a weather preset to delete.","Please select a weather preset to delete.","Please select a weather preset to delete.","请选择要删除的天气预设。"
"VSTR_NOTIFY_ERR_WEATHERSETTING","Weather Setting doesn't exist.","Weather Setting doesn't exist.","Weather Setting doesn't exist.","Weather Setting doesn't exist.","Настройка погоды не существует.","Weather Setting doesn't exist.","Weather Setting doesn't exist.","Weather Setting doesn't exist.","Weather Setting doesn't exist.","Le réglage météo n'existe pas.","Weather Setting doesn't exist.","Weather Setting doesn't exist.","Weather Setting doesn't exist.","天气设置不存在"
"VSTR_NOTIFY_DEL_WEATHER_PRST","Deleting Weather Preset","Deleting Weather Preset","Deleting Weather Preset","Deleting Weather Preset","Удаление предустановки погоды…","Deleting Weather Preset","Deleting Weather Preset","Deleting Weather Preset","Deleting Weather Preset","Suppression du préréglage météorologique…","Deleting Weather Preset","Deleting Weather Preset","Deleting Weather Preset","删除天气预设"
"VSTR_NOTIFY_INCRR_PRESET","Incorrect Weather Preset Name","Incorrect Weather Preset Name","Incorrect Weather Preset Name","Incorrect Weather Preset Name","Неверное имя предустановки погоды","Incorrect Weather Preset Name","Incorrect Weather Preset Name","Incorrect Weather Preset Name","Incorrect Weather Preset Name","Nom de préréglage météorologique incorrect","Incorrect Weather Preset Name","Incorrect Weather Preset Name","Incorrect Weather Preset Name","天气预设名称不正确"
"VSTR_NOTIFY_NAME_INUSE","Name is already in use.","Name is already in use.","Name is already in use.","Name is already in use.","Данное имя уже исспользуется.","Name is already in use.","Name is already in use.","Name is already in use.","Name is already in use.","Le nom est déjà utilisé.","Name is already in use.","Name is already in use.","Name is already in use.","名称已被使用"
"VSTR_NOTIFY_ERR_INVALID_WEATHERDATA","Invalid Weather Data","Invalid Weather Data","Invalid Weather Data","Invalid Weather Data","Неверные данные о погоде","Invalid Weather Data","Invalid Weather Data","Invalid Weather Data","Invalid Weather Data","Données météorologiques invalides","Invalid Weather Data","Invalid Weather Data","Invalid Weather Data","无效的天气数据"
"VSTR_NOTIFY_SAVING_WEATHER","Saving Weather Preset","Saving Weather Preset","Saving Weather Preset","Saving Weather Preset","Сохранение предустановки погоды…","Saving Weather Preset","Saving Weather Preset","Saving Weather Preset","Saving Weather Preset","Sauvegarde du préréglage météorologique…","Saving Weather Preset","Saving Weather Preset","Saving Weather Preset","保存天气预设"
"VSTR_NOTIFY_ERR_WEATHER_SELECT_PRST","Please select a weather preset.","Please select a weather preset.","Please select a weather preset.","Please select a weather preset.","Выберите предустановку погоды.","Please select a weather preset.","Please select a weather preset.","Please select a weather preset.","Please select a weather preset.","Veuillez sélectionner un préréglage météorologique.","Please select a weather preset.","Please select a weather preset.","Please select a weather preset.","请选择天气预设"
"VSTR_NOTIFY_APPLY_WEATHERPREST","Applying Weather Preset","Applying Weather Preset","Applying Weather Preset","Applying Weather Preset","Применение предустановки погоды…","Applying Weather Preset","Applying Weather Preset","Applying Weather Preset","Applying Weather Preset","Application du préréglage météorologique…","Applying Weather Preset","Applying Weather Preset","Applying Weather Preset","应用天气预设"
"VSTR_NOTIFY_SELECT_PRST_WEATHER_DEL","Please select a time preset to delete.","Please select a time preset to delete.","Please select a time preset to delete.","Please select a time preset to delete.","Выберите предустановку времени для удаления.","Please select a time preset to delete.","Please select a time preset to delete.","Please select a time preset to delete.","Please select a time preset to delete.","Veuillez sélectionner un préréglage horaire à supprimer.","Please select a time preset to delete.","Please select a time preset to delete.","Please select a time preset to delete.","请选择要删除的时间预设"
"VSTR_NOTIFY_ERR_TIME_PRST","Time Preset doesn't exist.","Time Preset doesn't exist.","Time Preset doesn't exist.","Time Preset doesn't exist.","Предустановка времени не существует.","Time Preset doesn't exist.","Time Preset doesn't exist.","Time Preset doesn't exist.","Time Preset doesn't exist.","Le préréglage horaire n'existe pas.","Time Preset doesn't exist.","Time Preset doesn't exist.","Time Preset doesn't exist.","时间预设不存在"
"VSTR_NOTIFY_REMOVE_DATE_PRST","Removing Date Preset","Removing Date Preset","Removing Date Preset","Removing Date Preset","Удаление предустановки даты…","Removing Date Preset","Removing Date Preset","Removing Date Preset","Removing Date Preset","Suppression du préréglage de date…","Removing Date Preset","Removing Date Preset","Removing Date Preset","删除日期预设"
"VSTR_NOTIFY_ERR_MISSING_DATE","Missing Date information.","Missing Date information.","Missing Date information.","Missing Date information.","Отсутствует информация о дате.","Missing Date information.","Missing Date information.","Missing Date information.","Missing Date information.","Informations sur la date manquantes.","Missing Date information.","Missing Date information.","Missing Date information.","缺少日期信息"
"VSTR_NOTIFY_ERR_DUPE_TIME_PRST","Duplicate Time Presets","Duplicate Time Presets","Duplicate Time Presets","Duplicate Time Presets","Дублировать предустановки времени","Duplicate Time Presets","Duplicate Time Presets","Duplicate Time Presets","Duplicate Time Presets","Préréglages horaires en double","Duplicate Time Presets","Duplicate Time Presets","Duplicate Time Presets","重复时间预设"
"VSTR_NOTIFY_SAVE_PRST_DATE","Saving Date Preset","Saving Date Preset","Saving Date Preset","Saving Date Preset","Сохранение пресета даты…","Saving Date Preset","Saving Date Preset","Saving Date Preset","Saving Date Preset","Sauvegarde du préréglage de date…","Saving Date Preset","Saving Date Preset","Saving Date Preset","保存日期预设"
"VSTR_NOTIFY_ERR_DATE_MISSING","Missing Date information.","Missing Date information.","Missing Date information.","Missing Date information.","Отсутствует информация о дате.","Missing Date information.","Missing Date information.","Missing Date information.","Missing Date information.","Informations sur la date manquantes.","Missing Date information.","Missing Date information.","Missing Date information.","缺少日期信息"
"VSTR_NOTIFY_WTH_APPLYING","Applying...Please Wait","Applying...Please Wait","Applying...Please Wait","Applying...Please Wait","Применение... Подождите, иногда обновление занимает несколько секунд!","Applying...Please Wait","Applying...Please Wait","Applying...Please Wait","Applying...Please Wait","Application en cours... Veuillez patienter, cela peut prendre quelques secondes !","Applying...Please Wait","Applying...Please Wait","Applying...Please Wait","正在申请...请稍候，有时需要几秒钟才能更新！"
"VSTR_NOTIFY_SELECT_TIME_PRST","Please select a time preset.","Please select a time preset.","Please select a time preset.","Please select a time preset.","Выберите пресет времени.","Please select a time preset.","Please select a time preset.","Please select a time preset.","Please select a time preset.","Veuillez sélectionner un préréglage horaire.","Please select a time preset.","Please select a time preset.","Please select a time preset.","请选择一个时间预设"
"VSTR_NOTIFY_APPLY_TIME_PRST","Applying Time Preset...Please wait.","Applying Time Preset...Please wait.","Applying Time Preset...Please wait.","Applying Time Preset...Please wait.","Применение пресета времени...","Applying Time Preset...Please wait.","Applying Time Preset...Please wait.","Applying Time Preset...Please wait.","Applying Time Preset...Please wait.","Application du préréglage horaire... Veuillez patienter.","Applying Time Preset...Please wait.","Applying Time Preset...Please wait.","Applying Time Preset...Please wait.","正在应用时间预设...请稍候"
"VSTR_NOTIFY_UPDATED_TIME_PRST","Time Preset...Updated","Time Preset...Updated","Time Preset...Updated","Time Preset...Updated","Пресет времени... Обновлён","Time Preset...Updated","Time Preset...Updated","Time Preset...Updated","Time Preset...Updated","Préréglage horaire... Mis à jour","Time Preset...Updated","Time Preset...Updated","Time Preset...Updated","时间预设...已更新"
"VSTR_TOOLTIP_TITLE_SAVE_CHANGE","Save Changes?","Save Changes?","Save Changes?","Save Changes?","Сохранить изменения?","Save Changes?","Save Changes?","Save Changes?","Save Changes?","Enregistrer les modifications ?","Save Changes?","Save Changes?","Save Changes?","保存更改？"
"VSTR_TOOLTIP_SAVE_CHANGE","Are you sure you wish to save changes?","Are you sure you wish to save changes?","Are you sure you wish to save changes?","Are you sure you wish to save changes?","Вы уверены, что хотите сохранить изменения?","Are you sure you wish to save changes?","Are you sure you wish to save changes?","Are you sure you wish to save changes?","Are you sure you wish to save changes?","Êtes-vous sûr de vouloir enregistrer les modifications ?","Are you sure you wish to save changes?","Are you sure you wish to save changes?","Are you sure you wish to save changes?","您确定要保存更改吗？"
"VSTR_NOTIFY_WBHOOKS_CONFG","Please Configure your webhook settings on the left then save!","Please Configure your webhook settings on the left then save!","Please Configure your webhook settings on the left then save!","Please Configure your webhook settings on the left then save!","Пожалуйста, укажите настройки вебхука, а затем сохраните!","Please Configure your webhook settings on the left then save!","Please Configure your webhook settings on the left then save!","Please Configure your webhook settings on the left then save!","Please Configure your webhook settings on the left then save!","Veuillez configurer vos paramètres de Webhook à gauche puis enregistrer !","Please Configure your webhook settings on the left then save!","Please Configure your webhook settings on the left then save!","Please Configure your webhook settings on the left then save!","请在左侧配置您的网络钩子设置，然后保存！"
"VSTR_NOTIFY_ERR_NOWEBHOOK","No webhook was selected!","No webhook was selected!","No webhook was selected!","No webhook was selected!","Вебхук не выбран!","No webhook was selected!","No webhook was selected!","No webhook was selected!","No webhook was selected!","Aucun Webhook sélectionné !","No webhook was selected!","No webhook was selected!","No webhook was selected!","未选择网络钩子！"
"VSTR_NOTIFY_ERR_WBHOOK_NAMESHORT","Error","Error","Error","Error","Ошибка, слишком короткое имя вебхука! Минимум 3 символа","Error","Error","Error","Error","Erreur, nom du WebHook trop court !","Error","Error","Error","错误，网络钩子名称太短！ 最少 3 个字符"
"VSTR_NOTIFY_ERR_NAMEINUSE_WEBHOOK","is already used!\nPlease use a unique name","is already used!\nPlease use a unique name","is already used!\nPlease use a unique name","is already used!\nPlease use a unique name","уже используется!\nИспользуйте уникальное имя","is already used!\nPlease use a unique name","is already used!\nPlease use a unique name","is already used!\nPlease use a unique name","is already used!\nPlease use a unique name","est déjà utilisé !\nVeuillez utiliser un nom unique","is already used!\nPlease use a unique name","is already used!\nPlease use a unique name","is already used!\nPlease use a unique name","已被使用！请使用唯一的名称"
"VSTR_NOTIFY_ERR_DEL_WEBHOOK","Something went really wrong\nCould not delete webhook:","Something went really wrong\nCould not delete webhook:","Something went really wrong\nCould not delete webhook:","Something went really wrong\nCould not delete webhook:","Что-то пошло не так\nНе удалось удалить вебхук: ","Something went really wrong\nCould not delete webhook:","Something went really wrong\nCould not delete webhook:","Something went really wrong\nCould not delete webhook:","Something went really wrong\nCould not delete webhook:","Quelque chose s'est mal passé\nImpossible de supprimer le webhook : ","Something went really wrong\nCould not delete webhook:","Something went really wrong\nCould not delete webhook:","Something went really wrong\nCould not delete webhook:","确实出了问题无法删除网络钩子："
"VSTR_TOOLTIP_TITLE_WBHOOK_DEL","Delete webhook?","Delete webhook?","Delete webhook?","Delete webhook?","Удалить вебхук?","Delete webhook?","Delete webhook?","Delete webhook?","Delete webhook?","Supprimer le webhook ?","Delete webhook?","Delete webhook?","Delete webhook?","删除网络钩子？"
"VSTR_TOOLTIP_WBHOOK_DEL","Are you sure you wish to delete webhook:","Are you sure you wish to delete webhook:","Are you sure you wish to delete webhook:","Are you sure you wish to delete webhook:","Вы уверены, что хотите удалить вебхук: ","Are you sure you wish to delete webhook:","Are you sure you wish to delete webhook:","Are you sure you wish to delete webhook:","Are you sure you wish to delete webhook:","Êtes-vous sûr de vouloir supprimer le webhook : ","Are you sure you wish to delete webhook:","Are you sure you wish to delete webhook:","Are you sure you wish to delete webhook:","您确定要删除网络钩子："
"VSTR_TOOLTIP_TITLE_WBHOOK_SELC","Select Webhook?","Select Webhook?","Select Webhook?","Select Webhook?","Выбрать вебхук?","Select Webhook?","Select Webhook?","Select Webhook?","Select Webhook?","Sélectionner le Webhook ?","Select Webhook?","Select Webhook?","Select Webhook?","选择网络钩子？"
"VSTR_TOOLTIP_WBHOOK_SELC","Any unsaved changes to previously selected item will be discarded continue?","Any unsaved changes to previously selected item will be discarded continue?","Any unsaved changes to previously selected item will be discarded continue?","Any unsaved changes to previously selected item will be discarded continue?","Любые несохраненные изменения ранее выбранного элемента будут удалены. Продолжить?","Any unsaved changes to previously selected item will be discarded continue?","Any unsaved changes to previously selected item will be discarded continue?","Any unsaved changes to previously selected item will be discarded continue?","Any unsaved changes to previously selected item will be discarded continue?","Toute modification non enregistrée des éléments précédemment sélectionnés sera abandonnée, continuer ?","Any unsaved changes to previously selected item will be discarded continue?","Any unsaved changes to previously selected item will be discarded continue?","Any unsaved changes to previously selected item will be discarded continue?","对先前所选项目的任何未保存的更改都将被丢弃 继续吗？"
"VSTR_TOOLTIP_TITLE_NOTICE","Important Notice!","Important Notice!","Důležité Oznámení!","Important Notice!","Важное уведомление!","Important Notice!","Important Notice!","Important Notice!","Important Notice!","Avis Important !","Important Notice!",,,"重要通知！"
"VSTR_TOOLTIP_XML_EDITORCHN","Are you sure you wish to save changes?\n\nPlease note that these changes don't take effect to the CE automatically","Are you sure you wish to save changes?\n\nPlease note that these changes don't take effect to the CE automatically","Are you sure you wish to save changes?\n\nPlease note that these changes don't take effect to the CE automatically","Are you sure you wish to save changes?\n\nPlease note that these changes don't take effect to the CE automatically","Вы уверены, что хотите сохранить изменения?\nОбратите внимание, что эти изменения не вступают в силу для CE автоматически, копия вновь отредактированного файла types.xml будет сохранена в папке профиля вашего сервера!","Are you sure you wish to save changes?\n\nPlease note that these changes don't take effect to the CE automatically","Are you sure you wish to save changes?\n\nPlease note that these changes don't take effect to the CE automatically","Are you sure you wish to save changes?\n\nPlease note that these changes don't take effect to the CE automatically","Are you sure you wish to save changes?\n\nPlease note that these changes don't take effect to the CE automatically","Êtes-vous sûr de vouloir enregistrer les modifications ?\nVeuillez noter que ces modifications ne prennent pas effet automatiquement sur le CE, une copie des types.xml nouvellement édités sera sauvegardée dans le dossier de profil de votre serveur !","Are you sure you wish to save changes?\n\nPlease note that these changes don't take effect to the CE automatically","Are you sure you wish to save changes?\n\nPlease note that these changes don't take effect to the CE automatically","Are you sure you wish to save changes?\n\nPlease note that these changes don't take effect to the CE automatically","您确定要保存更改吗？请注意，这些更改不会自动对 CE 生效，新编辑的 types.xml 的副本将保存在您服务器的配置文件文件夹中！"
"VSTR_TOOLTIP_XML_SCAN","This feature uses heavy server resource","This feature uses heavy server resource","This feature uses heavy server resource","This feature uses heavy server resource","Эта функция использует большие ресурсы сервера, вы можете столкнуться с большими задержками!\nВы уверены, что хотите продолжить?","This feature uses heavy server resource","This feature uses heavy server resource","This feature uses heavy server resource","This feature uses heavy server resource","Cette fonctionnalité utilise beaucoup de ressources serveur !\nÊtes-vous sûr de vouloir continuer ?","This feature uses heavy server resource","This feature uses heavy server resource","This feature uses heavy server resource","此功能占用大量服务器资源，您可能会遇到严重延迟！您确定要继续吗？"
"VSTR_XML_TITLE_NOMINAL","Nominal:","Nominal:","Nominal:","Nominal:","Номинал:","Nominal:","Nominal:","Nominal:","Nominal:","Nominal :","Nominal:","Nominal:","Nominal:","物品代码:"
"VSTR_XML_TITLE_LIFETIME","Lifetime:","Lifetime:","Lifetime:","Lifetime:","Время жизни:","Lifetime:","Lifetime:","Lifetime:","Lifetime:","Lifetime:","Lifetime:","Lifetime:","Lifetime:","寿命:"
"VSTR_XML_TITLE_RESTOCK","Restock:","Restock:","Restock:","Restock:","Респавн:","Restock:","Restock:","Restock:","Restock:","Restock:","Restock:","Restock:","Restock:","补货:"
"VSTR_XML_TITLE_MIN","Min:","Min:","Min:","Min:","Мин:","Min:","Min:","Min:","Min:","Min :","Min:","Min:","Min:","最小值:"
"VSTR_XML_TITLE_QUANTMIN","Quantmin:","Quantmin:","Quantmin:","Quantmin:","Кол-во мин:","Quantmin:","Quantmin:","Quantmin:","Quantmin:","Quantmin :","Quantmin:","Quantmin:","Quantmin:","最小定量:"
"VSTR_XML_TITLE_QUANTMAX","Quantmax:","Quantmax:","Quantmax:","Quantmax:","Кол-во макс:","Quantmax:","Quantmax:","Quantmax:","Quantmax:","Quantmax :","Quantmax:","Quantmax:","Quantmax:","最大定量:"
"VSTR_XML_TITLE_COST","Cost:","Cost:","Cost:","Cost:","Задержка:","Cost:","Cost:","Cost:","Cost:","Cost:","Cost:","Cost:","Cost:","优先级:"
"VSTR_XML_NOMINAL","Items of this type are spawned to this value (assuming there is enough place in the world","Items of this type are spawned to this value (assuming there is enough place in the world","Items of this type are spawned to this value (assuming there is enough place in the world","Items of this type are spawned to this value (assuming there is enough place in the world","Предметы этого типа создаются с этим значением (при условии, что в мире достаточно места, очередь CE не занята заранее, а таймер пополнения достигает 0)","Items of this type are spawned to this value (assuming there is enough place in the world","Items of this type are spawned to this value (assuming there is enough place in the world","Items of this type are spawned to this value (assuming there is enough place in the world","Items of this type are spawned to this value (assuming there is enough place in the world","Les objets de ce type sont générés jusqu'à cette valeur (en supposant qu'il y ait suffisamment de place dans le monde, que la file d'attente CE n'est pas pré-occupée et que le minuteur de réapprovisionnement atteint 0)","Items of this type are spawned to this value (assuming there is enough place in the world","Items of this type are spawned to this value (assuming there is enough place in the world","Items of this type are spawned to this value (assuming there is enough place in the world","这种类型的物品会生成到这个值（假设世界上有足够的地方，CE队列没有被预先占用并且补货计时器达到0）"
"VSTR_XML_LIFETIME","Time in seconds before this type gets deleted (assuming no one touches it)","Time in seconds before this type gets deleted (assuming no one touches it)","Time in seconds before this type gets deleted (assuming no one touches it)","Time in seconds before this type gets deleted (assuming no one touches it)","Время в секундах, прежде чем этот тип будет удален (при условии, что его никто не трогает)","Time in seconds before this type gets deleted (assuming no one touches it)","Time in seconds before this type gets deleted (assuming no one touches it)","Time in seconds before this type gets deleted (assuming no one touches it)","Time in seconds before this type gets deleted (assuming no one touches it)","Temps en secondes avant que ce type ne soit supprimé (en supposant que personne ne le touche)","Time in seconds before this type gets deleted (assuming no one touches it)","Time in seconds before this type gets deleted (assuming no one touches it)","Time in seconds before this type gets deleted (assuming no one touches it)","此类型被删除之前的时间（以秒为单位）（假设没有人接触它）"
"VSTR_XML_RESTOCK","If set to 0","If set to 0","If set to 0","If set to 0","Если установлено значение 0, CE пытается массово возрождать тип, если установлено положительное значение, это время в секундах, прежде чем ОДИН элемент этого типа будет снова создан.","If set to 0","If set to 0","If set to 0","If set to 0","Si réglé sur 0, CE essaie de réapparaître le type en lots, si réglé sur une valeur positive, c'est le temps en secondes avant qu'UN objet de ce type ne réapparaisse","If set to 0","If set to 0","If set to 0","如果设置为 0，CE 会尝试批量重生类型，如果设置为正值，则再次生成该类型的一个项目之前的时间（以秒为单位）"
"VSTR_XML_MIN","If amount of items of this type reach below this value in world","If amount of items of this type reach below this value in world","If amount of items of this type reach below this value in world","If amount of items of this type reach below this value in world","Если количество предметов этого типа становится ниже этого значения в мире, они снова появляются до номинального (хотя они следуют логике пополнения запасов)","If amount of items of this type reach below this value in world","If amount of items of this type reach below this value in world","If amount of items of this type reach below this value in world","If amount of items of this type reach below this value in world","Si la quantité d'objets de ce type tombe en dessous de cette valeur dans le monde, ils sont générés à nouveau au niveau nominal (mais ils suivent la logique de réapprovisionnement)","If amount of items of this type reach below this value in world","If amount of items of this type reach below this value in world","If amount of items of this type reach below this value in world","如果这种类型的物品数量在世界上低于这个值，它们会再次生成名义值（尽管它们遵循补货逻辑）"
"VSTR_XML_QUANTMIN","Min % for quantity (rags","Min % for quantity (rags","Min % for quantity (rags","Min % for quantity (rags","Минимальный % для количества (тряпки, магазины, боеприпасы...)","Min % for quantity (rags","Min % for quantity (rags","Min % for quantity (rags","Min % for quantity (rags","Min % pour la quantité (chiffons, chargeurs, munitions, ..)","Min % for quantity (rags","Min % for quantity (rags","Min % for quantity (rags","Min % for quantity (rags,mags,ammo,..)"
"VSTR_XML_QUNATMAX","Max % for quantity (rags","Max % for quantity (rags","Max % for quantity (rags","Max % for quantity (rags","Максимальнй % для количества (тряпки, магазины, боеприпасы...)","Max % for quantity (rags","Max % for quantity (rags","Max % for quantity (rags","Max % for quantity (rags","Max % pour la quantité (chiffons, chargeurs, munitions, ..)","Max % for quantity (rags","Max % for quantity (rags","Max % for quantity (rags","数量的最大百分比（碎布，弹匣，弹药，..）"
